X,Y,Z
2232378.9345246097,703132.8385904937,5925909.285129329
2232373.90406026,703136.9502157759,5925911.767487073
2232371.993318214,703139.1750067879,5925913.083444424
2232370.918310593,703140.0784082486,5925913.5962552745
2232368.8591722758,703142.3849365617,5925914.313312085
2232363.5613392005,703149.7100356712,5925915.869972368
2232361.0953228823,703151.9312209482,5925916.750424818
2232360.349043646,703152.7240191828,5925917.367553666
2232359.9175462145,703155.0721063697,5925918.111621903
2232359.7032053387,703157.2744568158,5925918.361108634
2232357.844816534,703165.040485719,5925918.569746193
2232357.5261982707,703166.3962665778,5925918.52889705
2232355.964949715,703172.2858202711,5925918.6332158055
2232354.8467335436,703174.8030505928,5925918.755763242
2232354.474226448,703178.5402128344,5925918.882702437
2232352.557497137,703185.9024245116,5925918.946171999
2232352.127944897,703187.2660909571,5925918.946171999
2232350.9031586368,703192.5763901827,5925919.422524777
2232348.2628621943,703205.578110304,5925919.304368643
2232348.067414013,703206.8870385095,5925919.22267025
2232347.215731555,703211.8009414773,5925919.390458258
2232346.1612572605,703218.8351980309,5925919.167983068
2232345.4885127684,703222.6919451108,5925918.963736899
2232344.9002998397,703225.2476499127,5925918.882038418
2232343.874258788,703229.2929021571,5925918.573473698
2232343.818912286,703243.237478639,5925916.9395024115
2232347.0181338815,703257.2223373912,5925914.7197951395
2232343.9635910103,703275.5329266203,5925912.192193316
2232341.6032882845,703278.2156322257,5925911.257720909
2232332.2114288756,703285.3643551145,5925913.087166004
2232328.794979866,703287.1147047663,5925913.736365221
2232323.0500739333,703289.7161277772,5925915.161698618
2232320.05161494,703290.1848076392,5925916.450643825
2232316.1631049896,703291.6579267153,5925918.170699547
2232315.2139090444,703291.5730244111,5925918.538341481
2232311.4604198565,703292.6175610065,5925920.258394893
2232303.135742056,703298.3891982863,5925922.709333958
2232301.7919644574,703304.175939112,5925922.958821547
2232300.8744253605,703308.5551514702,5925924.074924711
2232299.4310954195,703310.6272894421,5925924.587733423
2232292.405926761,703316.5941351324,5925927.601112995
2232290.3825394334,703318.098052397,5925928.399862789
2232281.1536106644,703329.5377867852,5925931.163748583
2232279.887025743,703331.8369033299,5925931.367992199
2232277.043820793,703338.0077526498,5925931.92164797
2232273.9686830556,703345.947138741,5925932.352757542
2232266.241815675,703359.7016531813,5925933.845932257
2232264.8329951456,703362.9409924716,5925934.4222102845
2232264.132386512,703364.4762027075,5925934.503907544
2232262.2807451743,703368.4325794892,5925935.161882778
2232260.880165823,703371.5460268053,5925935.965026801
2232259.225803574,703375.5645615133,5925936.541304745
2232257.916808124,703382.8612281993,5925936.813416816
2232257.8527095756,703383.9974009292,5925936.9177370155
2232257.375446216,703386.2454132434,5925937.475789352
2232256.727178449,703389.7243992324,5925937.952144417
2232256.019809717,703392.1140486987,5925938.365027941
2232255.3983742455,703394.2309760114,5925938.7779114675
2232253.83760234,703400.5060899707,5925939.481132604
2232253.405626396,703403.1538336007,5925939.5446041
2232253.263268389,703407.0920434712,5925939.775867118
2232253.051404979,703408.3529731908,5925939.921035875
2232253.049108723,703409.6371114957,5925939.984507271
2232253.433637821,703414.2124731184,5925940.156695201
2232253.852686779,703419.9550982472,5925940.392353789
2232253.7189277136,703421.4119589508,5925940.269807538
2232254.1154002477,703436.5270325299,5925937.896181841
2232254.4028980457,703439.7441521784,5925937.405995646
2232252.729167947,703448.5962922807,5925936.770640783
